Designator,Mid X,Mid Y,Rotation,Layer
_48,66.52,-97.33,0.0,top
_47,66.52,-77.33,0.0,top
_46,65.219997,-97.33,0.0,top
_45,66.52,-74.69,0.0,top
_44,66.52,-94.69,0.0,top
_43,65.219997,-107.33,0.0,top
_42,66.52,-96.01,0.0,top
_41,65.22,-88.41,0.0,top
_40,65.219995,-84.69,0.0,top
_39,69.95,-169.97,0.0,top
_38,63.92,-96.01,0.0,top
_37,66.52,-104.69,0.0,top
_36,63.92,-97.33,0.0,top
_35,65.219995,-74.69,0.0,top
_34,66.52,-76.01,0.0,top
_33,65.219997,-93.61,0.0,top
_32,69.96,-149.98,0.0,top
_31,63.92,-84.69,0.0,top
_30,63.92,-106.01,0.0,top
_29,65.219997,-83.61,0.0,top
_28,100.06,-189.98,0.0,top
_27,65.219997,-96.01,0.0,top
_26,65.219995,-104.69,0.0,top
_25,65.219997,-106.01,0.0,top
_24,63.92,-86.01,0.0,top
_23,66.52,-84.69,0.0,top
_22,63.92,-107.33,0.0,top
_21,63.92,-77.33,0.0,top
_20,66.52,-107.33,0.0,top
_19,66.52,-86.01,0.0,top
_18,63.92,-94.69,0.0,top
_17,66.52,-87.33,0.0,top
_16,65.219997,-87.33,0.0,top
_15,65.219995,-94.69,0.0,top
_14,69.95,-189.98,0.0,top
_13,65.22,-108.41,0.0,top
_12,65.219997,-76.01,0.0,top
_11,63.92,-87.33,0.0,top
_10,63.92,-104.69,0.0,top
_9,65.219997,-73.61,0.0,top
_8,66.52,-106.01,0.0,top
_7,65.219997,-86.01,0.0,top
_6,65.22,-98.41,0.0,top
_5,63.92,-74.69,0.0,top
_4,65.219997,-77.33,0.0,top
_3,63.92,-76.01,0.0,top
_2,65.219997,-103.61,0.0,top
,65.22,-78.41,0.0,top
C1,70.15,-64.2,270.0,top
C10,77.216,-60.77,0.0,top
C100,64.95,-137.45,90.0,bottom
C101,72.77,-141.74,270.0,bottom
C102,74.77,-141.74,270.0,bottom
C103,76.77,-141.74,270.0,bottom
C104,78.77,-142.74,270.0,bottom
C105,78.77,-156.84,270.0,bottom
C106,76.77,-157.84,270.0,bottom
C107,74.77,-157.84,270.0,bottom
C108,72.77,-157.84,270.0,bottom
C109,65.27,-157.84,90.0,bottom
C11,47.46,-54.0,180.0,top
C110,64.77,-141.74,270.0,bottom
C111,62.77,-141.74,90.0,bottom
C112,63.27,-157.84,270.0,bottom
C113,78.94,-153.04,180.0,bottom
C114,78.94,-151.04,180.0,bottom
C115,78.94,-149.04,180.0,bottom
C116,79.54,-146.39,180.0,bottom
C117,64.77,-161.74,270.0,bottom
C118,72.77,-161.74,270.0,bottom
C119,63.27,-177.74,270.0,bottom
C12,77.216,-58.77,0.0,top
C120,74.77,-161.74,270.0,bottom
C121,76.77,-161.74,270.0,bottom
C122,78.94,-173.04,180.0,bottom
C123,78.77,-162.74,270.0,bottom
C124,79.54,-166.39,180.0,bottom
C125,78.94,-171.04,180.0,bottom
C126,78.77,-176.74,270.0,bottom
C127,78.94,-169.04,180.0,bottom
C128,76.77,-177.74,270.0,bottom
C129,74.77,-177.74,270.0,bottom
C13,77.216,-56.77,180.0,top
C130,72.77,-177.74,270.0,bottom
C131,65.27,-177.74,90.0,bottom
C132,62.77,-161.74,90.0,bottom
C133,65.27,-197.74,90.0,bottom
C134,72.77,-181.74,270.0,bottom
C135,62.77,-181.74,90.0,bottom
C136,74.77,-181.74,270.0,bottom
C137,76.77,-181.74,270.0,bottom
C138,78.94,-193.04,180.0,bottom
C139,78.77,-182.74,270.0,bottom
C14,77.216,-54.77,180.0,top
C140,79.54,-186.39,180.0,bottom
C141,78.94,-191.04,180.0,bottom
C142,78.77,-196.74,270.0,bottom
C143,78.94,-189.04,180.0,bottom
C144,76.77,-197.74,270.0,bottom
C145,74.77,-197.74,270.0,bottom
C146,72.77,-197.74,270.0,bottom
C147,64.77,-181.74,270.0,bottom
C148,63.27,-197.74,270.0,bottom
C149,104.73,-181.74,270.0,bottom
C15,68.105,-50.935,90.0,top
C150,97.23,-197.74,90.0,bottom
C151,106.73,-181.74,90.0,bottom
C152,95.23,-197.74,90.0,bottom
C153,93.23,-197.74,90.0,bottom
C154,91.05,-193.04,0.0,bottom
C155,91.23,-196.74,90.0,bottom
C156,90.46,-186.39,0.0,bottom
C157,91.05,-191.04,0.0,bottom
C158,91.23,-182.74,90.0,bottom
C159,91.05,-189.04,0.0,bottom
C16,126.7275,-104.345,180.0,top
C160,93.23,-181.74,90.0,bottom
C161,95.23,-181.74,90.0,bottom
C162,97.23,-181.74,90.0,bottom
C163,105.23,-197.74,90.0,bottom
C164,107.23,-197.74,270.0,bottom
C165,104.73,-161.74,270.0,bottom
C166,97.23,-177.74,90.0,bottom
C167,106.73,-161.74,90.0,bottom
C168,95.23,-177.74,90.0,bottom
C169,93.23,-177.74,90.0,bottom
C17,126.7275,-111.345,180.0,top
C170,91.05,-173.04,0.0,bottom
C171,91.23,-176.74,90.0,bottom
C172,90.46,-166.39,0.0,bottom
C173,91.05,-171.04,0.0,bottom
C174,91.23,-162.74,90.0,bottom
C175,91.05,-169.04,0.0,bottom
C176,93.23,-161.74,90.0,bottom
C177,95.23,-161.74,90.0,bottom
C178,97.23,-161.74,90.0,bottom
C179,105.23,-177.74,90.0,bottom
C18,70.3,-98.6,270.0,top
C180,107.23,-177.74,270.0,bottom
C181,105.23,-157.74,90.0,bottom
C182,97.23,-157.74,90.0,bottom
C183,107.23,-157.74,270.0,bottom
C184,95.23,-157.74,90.0,bottom
C185,93.23,-157.74,90.0,bottom
C186,91.05,-153.04,0.0,bottom
C187,91.23,-156.74,90.0,bottom
C188,90.46,-146.39,0.0,bottom
C189,91.05,-151.04,0.0,bottom
C19,70.3,-78.6,270.0,top
C190,91.23,-142.74,90.0,bottom
C191,91.05,-149.04,0.0,bottom
C192,93.23,-141.74,90.0,bottom
C193,95.23,-141.74,90.0,bottom
C194,97.23,-141.74,90.0,bottom
C195,104.73,-141.74,270.0,bottom
C196,106.73,-141.74,90.0,bottom
C2,44.9,-58.09,90.0,top
C20,70.3,-88.6,270.0,top
C21,70.3,-108.6,270.0,top
C22,72.3,-98.6,270.0,top
C23,130.815,-104.345,180.0,top
C24,72.3,-78.6,270.0,top
C25,72.3,-88.6,270.0,top
C26,72.3,-108.6,270.0,top
C27,58.64,-97.55,180.0,top
C28,58.64,-77.55,180.0,top
C29,58.64,-87.55,180.0,top
C3,77.7,-64.75,0.0,bottom
C30,58.64,-107.55,180.0,top
C31,130.7275,-111.345,180.0,top
C32,73.51,-91.83,0.0,top
C33,73.51,-71.83,0.0,top
C34,73.51,-81.83,0.0,top
C35,73.51,-101.83,0.0,top
C36,58.64,-99.55,180.0,top
C37,58.64,-79.55,180.0,top
C38,58.64,-89.55,180.0,top
C39,58.64,-109.55,180.0,top
C4,75.1,-61.7,90.0,bottom
C40,59.3,-73.1,90.0,top
C41,76.3,-78.6,90.0,top
C42,91.3,-97.25,270.0,top
C43,57.3,-73.1,90.0,top
C44,76.3,-88.6,90.0,top
C45,91.3,-107.25,270.0,top
C46,76.3,-98.6,90.0,top
C47,59.3,-83.1,90.0,top
C48,91.3,-92.15,90.0,top
C49,91.3,-102.15,90.0,top
C5,77.7,-58.75,180.0,bottom
C50,76.3,-108.6,90.0,top
C51,57.3,-83.1,90.0,top
C52,91.3,-87.25,270.0,top
C53,91.3,-82.15,90.0,top
C54,59.3,-93.1,90.0,top
C55,91.3,-77.25,270.0,top
C56,51.08,-72.43,90.0,top
C57,57.3,-93.1,90.0,top
C58,91.3,-72.15,90.0,top
C59,54.48,-72.43,90.0,top
C6,66.15,-64.2,270.0,top
C60,87.3,-77.25,270.0,bottom
C61,59.3,-103.1,90.0,top
C62,54.48,-76.93,270.0,top
C63,87.3,-87.25,270.0,bottom
C64,57.3,-103.1,90.0,top
C65,87.3,-72.15,90.0,bottom
C66,54.48,-82.43,90.0,top
C67,87.3,-92.15,90.0,bottom
C68,95.3,-72.15,90.0,bottom
C69,54.48,-86.93,270.0,top
C7,57.0,-58.12,270.0,top
C70,95.3,-107.25,270.0,bottom
C71,87.3,-107.25,270.0,bottom
C72,54.48,-92.43,90.0,top
C73,87.3,-102.15,90.0,bottom
C74,87.3,-82.15,90.0,bottom
C75,54.48,-96.93,270.0,top
C76,39.6,-98.97,0.0,top
C77,91.3,-87.25,270.0,bottom
C78,54.48,-102.43,90.0,top
C79,91.3,-97.25,270.0,bottom
C8,72.15,-64.2,270.0,top
C80,39.6,-89.12,0.0,top
C81,91.3,-102.15,90.0,bottom
C82,54.48,-106.93,270.0,top
C83,87.3,-97.25,270.0,bottom
C84,39.6,-79.27,0.0,top
C85,51.08,-106.93,270.0,top
C86,91.3,-92.15,90.0,bottom
C87,91.3,-82.15,90.0,bottom
C88,47.68,-72.43,90.0,top
C89,91.3,-107.25,270.0,bottom
C9,77.216,-64.77,0.0,top
C90,47.68,-106.93,270.0,top
C91,91.3,-77.25,270.0,bottom
C92,91.3,-72.15,90.0,bottom
C93,116.63,-51.44,270.0,top
C94,130.96,-47.5,0.0,top
C95,127.4,-47.5,180.0,top
C96,84.63,-170.89,270.0,bottom
C97,63.58,-113.92,0.0,bottom
C98,120.815,-110.345,90.0,top
C99,120.815,-105.345,270.0,top
D1,54.4475,-61.94,180.0,top
D2,46.5725,-62.92,0.0,top
D3,122.7725,-38.27,0.0,top
F1,37.8,-58.33,270.0,top
J1,43.61,-39.98,180.0,top
L1,53.02,-56.9,90.0,top
L2,83.5,-94.75,0.0,top
L3,83.5,-74.75,0.0,top
L4,83.5,-84.75,0.0,top
L5,83.5,-104.75,0.0,top
M1,132.38,-80.38,180.0,top
M2,132.38,-70.38,180.0,top
R1,68.15,-64.2,90.0,top
R10,76.105,-50.935,270.0,top
R11,78.105,-50.935,270.0,top
R12,64.799,-54.094,270.0,top
R13,62.799,-54.094,90.0,top
R14,72.105,-50.935,270.0,top
R15,134.295,-106.815,90.0,top
R16,70.105,-50.935,90.0,top
R17,74.3,-98.6,90.0,top
R18,74.3,-78.6,90.0,top
R19,74.3,-88.6,90.0,top
R2,77.7,-62.75,0.0,bottom
R20,74.3,-108.6,90.0,top
R21,70.8,-93.1,270.0,top
R22,70.8,-73.1,270.0,top
R23,70.8,-83.1,270.0,top
R24,70.8,-103.1,270.0,top
R25,96.491,-135.6595,270.0,bottom
R26,99.441,-135.6595,270.0,bottom
R27,74.105,-50.935,270.0,top
R28,124.17,-52.82,0.0,top
R29,122.74,-46.98,0.0,top
R3,77.7,-60.75,0.0,bottom
R30,66.77,-141.74,90.0,bottom
R31,69.57,-157.07,0.0,bottom
R32,107.55,-74.15,90.0,bottom
R33,66.77,-161.74,90.0,bottom
R34,69.57,-177.07,0.0,bottom
R35,109.6,-74.15,90.0,bottom
R36,66.77,-181.74,90.0,bottom
R37,69.57,-197.07,0.0,bottom
R39,103.23,-197.74,270.0,bottom
R4,63.85,-61.45,0.0,top
R40,100.43,-182.41,180.0,bottom
R42,103.23,-177.74,270.0,bottom
R43,100.43,-162.41,180.0,bottom
R45,103.23,-157.74,270.0,bottom
R46,100.43,-142.41,180.0,bottom
R48,68.77,-141.74,270.0,bottom
R5,64.15,-64.2,90.0,top
R6,74.15,-64.2,90.0,top
R7,48.5,-51.5,180.0,top
R8,45.0,-51.5,180.0,top
R9,77.216,-62.77,180.0,top
U1,48.3025,-57.91,90.0,top
U10,121.24,-49.935,270.0,top
U11,129.24,-49.935,0.0,top
U12,85.02,-170.02,0.0,top
U13,67.26,-113.58,0.0,bottom
U14,116.815,-107.845,180.0,top
U15,67.95,-137.65,270.0,bottom
U16,70.0,-150.0,270.0,top
U17,70.0,-170.0,270.0,top
U18,70.0,-190.0,270.0,top
U19,100.0,-190.0,90.0,top
U2,70.6,-57.6,90.0,top
U20,100.0,-170.0,90.0,top
U21,100.0,-150.0,90.0,top
U3,126.7275,-107.845,90.0,top
U4,65.19,-96.0,0.0,top
U5,65.19,-75.9975,0.0,top
U6,65.195,-85.9975,0.0,top
U7,65.195,-105.9975,0.0,top
U8,130.7275,-107.845,90.0,top
